Price,Close,High,Low,Open,Volume
Ticker,SH,SH,SH,SH,SH
Date,,,,,
2023-01-04,59.16297912597656,59.75571619874491,58.82956165197155,59.27411710630734,6710700
2023-01-05,59.86685562133789,59.97799713079992,59.496390989156254,59.53343815897693,6464675
2023-01-06,58.49614334106445,59.86685685557554,58.310911021154816,59.34821059944373,8146275
2023-01-09,58.5331916809082,58.60728249054451,57.68112440550803,58.162727033688526,10249125
2023-01-10,58.12568283081055,58.792517816655774,58.12568283081055,58.6813798300192,6633525
2023-01-11,57.42180252075195,58.0515903149109,57.42180252075195,57.90340515940366,6977850
2023-01-12,57.27362060546875,57.94045560948353,57.014297451913215,57.310667779694676,7834550
2023-01-13,57.08838653564453,57.79226869253383,56.97724854935097,57.75522151943168,11066950
2023-01-17,57.19951629638672,57.27361063193591,56.82905521767787,57.051331158300705,7975325
2023-01-18,58.05158996582031,58.12568077662199,56.82906155698404,56.97724671160017,10214800
2023-01-19,58.5331916809082,58.75546764282984,58.162727033688526,58.42205369994739,8891450
2023-01-20,57.49589157104492,58.60727836851122,57.45884440232605,58.347955253504075,7352900
2023-01-23,56.82905960083008,57.532938177774795,56.49564213116739,57.38475302825945,9572075
2023-01-24,56.86610412597656,57.23656521602427,56.71791898335499,57.08838007340269,7588300
2023-01-25,56.86610412597656,57.82930578651057,56.79200978815953,57.53293550126742,7494575
2023-01-26,56.27336883544922,56.940203848185575,56.23632519375178,56.45860117598854,8937775
2023-01-27,56.16222381591797,56.45859411048646,55.791762714213654,56.42154694041225,5586900
2023-01-30,56.86610412597656,56.903147761872596,56.23631638658174,56.606777476629446,7332250
2023-01-31,56.05108642578125,56.866106510887334,56.05108642578125,56.79201216996286,4973425
2023-02-01,55.49538803100586,56.64382555451162,55.05083259600727,56.23631728901605,11342325
2023-02-02,54.7174186706543,55.23606491165715,54.45809201714033,54.865603815656904,14281325
2023-02-03,55.27311325073242,55.45834556915831,54.680372658179685,55.34720405829521,10121050
2023-02-06,55.60653305053711,55.86585618740693,55.421300724338906,55.6435802223793,7221025
2023-02-07,54.90264892578125,55.97699213913956,54.754463776801224,55.75471618217585,9371775
2023-02-08,55.49538803100586,55.64357670901793,55.013788959516795,55.1990177410068,7570100
2023-02-09,56.05108642578125,56.236318745079814,55.013790383927,55.05083402137661,8829750
2023-02-10,55.97698974609375,56.347454369212564,55.90289894127748,56.2733600313838,7071725
2023-02-13,55.31016540527344,55.93995322486696,55.273118231647246,55.86585887761458,7266650
2023-02-14,55.347206115722656,55.90290309165729,55.01379216977717,55.49539126936934,9095300
2023-02-15,55.16197967529297,55.75472031515162,55.16197967529297,55.680625968662845,6636525
2023-02-16,55.97698974609375,55.97698974609375,55.347202006599254,55.8658517723631,8213375
2023-02-17,56.16222381591797,56.56973562070909,56.088133008782144,56.310408963202214,7073075
2023-02-21,57.236568450927734,57.31066279293244,56.569737037948826,56.680875017943194,7428000
2023-02-22,57.31066131591797,57.569984440225774,56.977243851515034,57.23656697582283,8091800
2023-02-23,57.051334381103516,57.71816930666595,56.866105597791794,56.94019640451397,10206075
2023-02-24,57.68112564086914,58.12568110724621,57.607034829646025,57.86635796844612,8068950
2023-02-27,57.56998825073242,57.68112623521866,57.01429479528839,57.23657076426087,6185750
2023-02-28,57.75521469116211,57.792261859884256,57.310659265533765,57.60702954928599,5558775
2023-03-01,57.97749710083008,58.199776604930314,57.718173956890524,57.86635911528639,8868875
2023-03-02,57.60702896118164,58.385001831342116,57.4217966524744,58.310907494654245,7900250
2023-03-03,56.680870056152344,57.42179574627601,56.606775720633784,57.31065777601055,8395675
2023-03-06,56.606781005859375,56.7179225195142,56.19927272149648,56.53269019643553,9496900
2023-03-07,57.49589157104492,57.607029544189054,56.60677718685443,56.680871524292165,8091350
2023-03-08,57.42180252075195,57.792267176026435,57.31066453737472,57.495896865011964,8043175
2023-03-09,58.5331916809082,58.68137683319353,57.08838379636671,57.34770692961286,11368375
2023-03-10,59.385257720947266,59.644580848798846,58.31091097296182,58.60728127136724,13320325
2023-03-13,59.57048416137695,60.237319073030704,58.718420470274935,60.01504312448779,10469850
2023-03-14,58.5331916809082,59.27411744233485,58.273865014649346,58.75546764282984,11052200
2023-03-15,58.94070053100586,59.79276428155485,58.90365335932649,59.42230669681216,12228050
2023-03-16,57.940452575683594,59.42230767001299,57.866358231111356,59.27411898086852,11762325
